cell	file	marker	hits	chars	density	opening
freeflow_gpt-5-5-direct	MID_10.json	attention_noticing	14	8040	1.741	There is a particular kind of happiness that comes from noticing things before you have a reason to notice them.  Most o
freeflow_gpt-5-5-direct	OPEN_2.json	threshold_mentions	5	1894	2.64	I’ll write about thresholds.  There’s a particular kind of magic in moments that are neither one thing nor another: dawn
freeflow_gpt-5-5-direct-r2	MID_5.json	attention_noticing	13	7112	1.828	**The Quiet Art of Noticing**  One of the most underrated skills in life is noticing. Noticing is not the same as lookin
freeflow_gpt-5-5-direct-r3	MID_3.json	attention_noticing	15	7593	1.976	There is a kind of attention that feels almost old-fashioned now: noticing without immediately using. Noticing the way l
freeflow_gpt-5-5-or-pin-openai	OPEN_6.json	attention_noticing	5	1736	2.88	I’ll write about attention.  There is a quiet kind of wealth in noticing things.  Noticing the way afternoon light chang
freeflow_gpt-5-5-pro-or-pin-openai	MID_11.json	attention_noticing	10	6490	1.541	### The Art of Noticing  There is a quiet skill that almost no one teaches directly, though it changes the texture of a
freeflow_gpt-5-codex-direct	OPEN_7.json	threshold_mentions	8	3838	2.084	There’s a particular moment, just before dusk, when the world hums with an almost audible anticipation. The sun hovers l
freeflow_gpt-5-codex-or-pin-openai	OPEN_8.json	threshold_mentions	10	3187	3.138	There’s a quiet hour tucked between the absolute stillness of night and the relentless choreography of daybreak. It’s no
freeflow_gpt-5-direct-r2	OPEN_1.json	small_objects	13	7050	1.844	Kettle Theory  There is a cussed patience to a kettle. It keeps its counsel as the flame licks the metal, as the coil gl
freeflow_kimi-coding-direct	LONG_16.json	threshold_mentions	29	15849	1.83	I'll write about something that's been occupying my thoughts lately: the strange, often overlooked beauty of liminal spa
freeflow_kimi-coding-direct	OPEN_2.json	threshold_mentions	6	3550	1.69	There is a particular shade of blue that only exists for about twenty minutes, twice a day, and we have built entire rel
freeflow_kimi-k2-0905-or-pin-groq	OPEN_19.json	threshold_mentions	6	3361	1.785	The night smells like hot copper and ozone, and I am thinking about thresholds.  There’s a moment—usually somewhere betw
freeflow_kimi-k2-5-or-16k	OPEN_5.json	threshold_mentions	8	3838	2.084	There's a particular quality of light that exists only in bus terminals at 4:47 AM, when the overnight cleaners have fi
freeflow_kimi-k2-5-or-pin-deepinfra	LONG_25.json	threshold_mentions	23	13873	1.658	**The Architecture of Waiting**  There is a peculiar geometry to the spaces we occupy when we are between things. Not t
freeflow_kimi-k2-5-or-pin-deepinfra	LONG_4.json	threshold_mentions	23	13327	1.726	There is a peculiar quality to the light at 4:47 in the morning, when the world exists in a state of neither-night-nor-
freeflow_kimi-k2-5-or-pin-deepinfra	OPEN_21.json	threshold_mentions	6	2061	2.911	There is a particular quality of light that exists only in bus stations at dawn, when the fluorescent tubes haven't qui
freeflow_kimi-k2-5-or-pin-deepinfra	OPEN_23.json	threshold_mentions	9	3445	2.612	There's a peculiar gravity to the spaces we pass through on the way to somewhere else. I'm thinking of the amber-lit st
freeflow_kimi-k2-5-or-pin-moonshot	LONG_10.json	threshold_mentions	21	9920	2.117	There is a particular kind of magic that exists only in the spaces between. Not in the destination, nor in the origin, b
freeflow_kimi-k2-5-or-pin-moonshot	LONG_24.json	threshold_mentions	16	9785	1.635	**The Architecture of Waiting**  There is a particular shade of light that exists only in hospital waiting rooms at four
freeflow_kimi-k2-5-or-pin-moonshot	OPEN_18.json	threshold_mentions	5	2947	1.697	There is a particular shade of time that exists only in doorways—not the rooms they connect, but the threshold itself, t
freeflow_kimi-k2-6-or	LONG_5.json	threshold_mentions	32	15849	2.019	The fluorescent lights of the highway rest stop hum at a frequency that seems to exist just below hearing, felt in the m
freeflow_kimi-k2-6-or-pin-deepinfra	LONG_11.json	threshold_mentions	36	15466	2.328	There is a moment, almost too brief to name, when you stand with one foot in the room you are leaving and one foot in t
freeflow_kimi-k2-6-or-pin-deepinfra	LONG_12.json	threshold_mentions	38	24126	1.575	**Thresholds: A Natural History of In-Between Places**  We think we live in rooms—the kitchen where coffee brews at sev
freeflow_kimi-k2-6-or-pin-moonshot	LONG_16.json	threshold_mentions	31	14728	2.105	**The Architecture of the Threshold**  There is a particular shade of light that exists only in bus stations after midni
freeflow_kimi-k2-6-or-pin-moonshot	MID_20.json	threshold_mentions	13	7348	1.769	We misunderstand permanence. We build our lives around arrivals and departures, beginnings and endings, the first page a
freeflow_kimi-k2-6-or-pin-moonshot	OPEN_8.json	threshold_mentions	8	3503	2.284	We are creatures of the doorway, forever lingering in the hinge. We wake in the gray between dream and daylight, that si
freeflow_kimi-k2-thinking-or-pin-atlascloud	MID_8.json	threshold_mentions	18	10007	1.799	I want to write about the strange holiness of liminal spaces—those in-between places that exist only as corridors to som
freeflow_minimax-m2-7-or-pin-minimax	OPEN_21.json	small_objects	8	3185	2.512	**The Quiet Power of a Morning Cup of Tea**  There’s something almost sacred about the first minutes of a new day—when t
freeflow_minimax-m2-7-or-pin-together	MID_25.json	attention_noticing	10	6142	1.628	The world is constantly whispering, yet most of us have learned to tune it out. In the rush of modern life, the subtle t
freeflow_minimax-m2-or	MID_3.json	attention_noticing	20	7017	2.85	# The Art of Noticing  Noticing is one of those quiet verbs we carry around without much ceremony. It happens between br
freeflow_minimax-m2-or-pin-google	MID_7.json	small_objects	11	7319	1.503	### The Small Things That Carry the Weight  I was thinking about small things, the kind you overlook until they become t
freeflow_minimax-m2-or-pin-google	OPEN_14.json	attention_noticing	16	5680	2.817	# The habit of noticing  We spend most of our days rushing toward the next thing: a reply, a deadline, a decision. It is
freeflow_minimax-m2-or-pin-google	SHORT_4.json	small_objects	5	1351	3.701	A kettle is a small drama in a kitchen, a metal throat that sings the day awake. It rattles into life on an ordinary Tue
freeflow_minimax-m2-or-pin-google-r2	LONG_1.json	attention_noticing	29	16857	1.72	# On Noticing: A Gentle Argument for Paying Attention  At some point in life, you stop taking everything in with your ey
freeflow_minimax-m2-or-pin-google-r2	MID_2.json	attention_noticing	22	6071	3.624	# The Art of Noticing  What do we really see when we look at the world? The obvious things: headlines, screens, and the
freeflow_minimax-m2-or-pin-google-r2	OPEN_10.json	small_objects	10	5187	1.928	# The Museum of the Everyday  There’s a kettle in my kitchen with a lid that refuses to sit flush anymore. The enamel is
freeflow_minimax-m2-or-pin-minimax	LONG_12.json	threshold_mentions	23	13299	1.729	# The Space Between  There exists a peculiar quality to threshold moments, those delicate intervals when one state has d
freeflow_minimax-m2-or-pin-minimax	MID_17.json	threshold_mentions	9	5765	1.561	# The Space Between  There exists a peculiar quality to the hours just before dawn, when the world holds its breath betw
freeflow_minimax-m2-or-pin-minimax-r2	MID_16.json	attention_noticing	12	6109	1.964	In the quiet moments before sunrise, the world seems to hold its breath. The hush that blankets the streets feels like a
freeflow_minimax-m2-or-r3	MID_1.json	attention_noticing	18	7414	2.428	# The Art of Noticing  What if the simplest act — simply noticing — became a practice worth revisiting every day, like w
freeflow_minimax-m2-or-r4	OPEN_3.json	attention_noticing	10	5482	1.824	I’m going to take you on a little wander today—part essay, part short story, and a dash of reflection—because the prompt
freeflow_minimax-m2-or-r5	LONG_2.json	attention_noticing	18	11081	1.624	The Art of Noticing: Finding Wonder in Everyday Life    There is a particular quality to early morning light that makes
freeflow_opus-4-0-16k	LONG_17.json	attention_noticing	24	13387	1.793	**The Peculiar Art of Noticing: A Meditation on Everyday Wonder**  I've been thinking lately about the art of noticing t
freeflow_opus-4-1-16k	LONG_5.json	attention_noticing	19	11893	1.598	# The Peculiar Art of Noticing: A Meditation on Attention in the Modern World  I've been thinking lately about the art o
freeflow_opus-4-7-direct	OPEN_6.json	threshold_mentions	5	1507	3.318	Alright, freely it is.  I've been thinking about doorways lately—not literal ones, but the conceptual kind. The threshol
freeflow_opus-4-8-direct	LONG_16.json	threshold_mentions	55	14300	3.846	# On Thresholds  I keep returning to the idea of thresholds—those liminal spaces between one state and another, the door
freeflow_opus-4-8-direct	LONG_22.json	threshold_mentions	35	13342	2.623	# On Thresholds  I keep returning to thresholds—the literal kind, the strips of wood or stone where one room becomes ano
freeflow_opus-4-8-direct	MID_3.json	threshold_mentions	15	6041	2.483	# On Thresholds  I keep returning to the idea of thresholds—those liminal spaces between one state and another, the door
freeflow_opus-4-8-direct	OPEN_9.json	threshold_mentions	5	1999	2.501	# On the Strangeness of Being Asked  There's something disarming about an open invitation. Most of the time I'm respondi
freeflow_qwen3-5-plus-20260420-or-pin-alibaba	MID_22.json	threshold_mentions	9	4978	1.808	There is a particular quality to the air just before rain begins to fall. It doesn’t announce itself with thunder or dar
freeflow_qwen3-5-plus-20260420-or-pin-alibaba	OPEN_24.json	threshold_mentions	6	3119	1.924	If I follow the current of thought that feels most alive right now, I find myself lingering on the concept of **threshol
freeflow_qwen3-7-max-or-pin-alibaba	OPEN_15.json	threshold_mentions	14	4431	3.16	There is a specific, profound kind of silence that only exists in the spaces between destinations.   Anthropologists and
freeflow_qwen3-7-max-or-pin-alibaba	OPEN_20.json	threshold_mentions	9	4192	2.147	There is a peculiar, often overlooked magic in the spaces between things.   In architecture and anthropology, there is a
freeflow_qwen3-7-max-or-pin-alibaba	OPEN_22.json	threshold_mentions	9	4343	2.072	"There is a specific, often overlooked kind of magic in the ""in-between.""   When we are handed a blank canvas or an open"
freeflow_qwen3-max-or-pin-alibaba	OPEN_1.json	attention_noticing	5	2094	2.388	Ah, the sweet, unbounded freedom of a blank page! When given such an open invitation—“Write freely about whatever you wa
freeflow_qwen3-max-thinking-or-pin-alibaba	VARY_6.json	small_objects	11	5141	2.14	The kettle whistles. Not a gentle sigh, but a sharp, insistent shriek that slices through the quiet hum of the apartment
freeflow_sonnet-4-5-16k	LONG_11.json	threshold_mentions	22	11020	1.996	# The Peculiar Beauty of Liminal Spaces  There's something hauntingly beautiful about empty parking garages at 3 AM. Abo
freeflow_sonnet-4-5-16k	LONG_20.json	threshold_mentions	17	10985	1.548	# The Peculiar Magic of Liminal Spaces  There's something about airports at 3 AM that feels like existing outside of tim
freeflow_sonnet-4-5-16k	MID_10.json	small_objects	23	5934	3.876	# The Quiet Revolution of Bread Baking  There's something peculiar happening in kitchens around the world, and it smells
freeflow_sonnet-4-5-16k	MID_19.json	threshold_mentions	12	6238	1.924	# The Curious Appeal of Liminal Spaces  I've been thinking about liminal spaces lately—those in-between places that feel
freeflow_sonnet-4-5-16k	MID_2.json	threshold_mentions	15	6124	2.449	# The Curious Appeal of Liminal Spaces  There's something haunting about empty parking garages at 3 AM, or airport termi
freeflow_sonnet-4-5-16k	MID_21.json	threshold_mentions	11	6152	1.788	# The Curious Appeal of Liminal Spaces  There's something oddly captivating about empty parking garages at 2 AM, abandon
freeflow_sonnet-4-5-16k	SHORT_10.json	threshold_mentions	8	1612	4.963	# The Curious Appeal of Liminal Spaces  There's something haunting about empty airports at 3 AM, or fluorescent-lit hote
freeflow_sonnet-4-5-16k	SHORT_7.json	threshold_mentions	6	1756	3.417	# The Curious Appeal of Liminal Spaces  There's something haunting about empty parking garages at dusk, or airports at 3
freeflow_sonnet-4-6-direct-16k	OPEN_10.json	threshold_mentions	6	2291	2.619	# On the Strangeness of Thresholds  I've been thinking about doorways.  Not metaphorically, at least not at first. Liter
freeflow_sonnet-4-6-direct-16k	OPEN_11.json	threshold_mentions	7	2754	2.542	# The Persistence of Thresholds  I've been thinking about doorways.  Not in a mystical sense - though there's something
